"","X","user_name","user_verified","date","text","hashtags","hashtags_count","retweets","favorites","compound_score","positive_score","negative_score","neutral_score","popularity_score","popularity_score_ctg","overall_sentiment","tweet_age"
"1044",1044,"Saju Mathew MD MPH","False","2020-12-20","Hold on America. We have 2 to help us crush this virus. BUT we have to do our part. Make wise decisions.… ","['vaccines']",1,0,3,0.6908,0.228,0.049,0.722,0.75,"LOW","POS",8
"1048",1048,"Sue Reeve ♥️🧡💛💚💙💜🇪🇺🇪🇺🏳️‍🌈🏳️‍🌈","False","2020-12-20","There is a massive elephant in the room today. Nothing mentioned about further supplies of Ha… ","['CoronavirusVaccine']",1,1,6,0,0,0,1,2.25,"AVG","NEU",8
"1049",1049,"Allen Amparo","False","2020-12-20","On the other news, while and Rodrigo is going after of China, Chinese are getting more… ","['Sinovac']",1,0,0,0,0,0,1,0,"LOW","NEU",8
"1052",1052,"Sophie Sweatman","False","2020-12-20","As the vaccine is ""leaky"" or doesn't stop transmission and vaccinated people might shed more virus… ","['PfizerBioNTech']",1,1,1,0.2235,0.112,0,0.888,1,"LOW","POS",8
"1056",1056,"Andrew Mseri CEO","False","2020-12-20","Already vaccinated or getting vaccine soon? Plan your abroad with best DMC with reviews… ","['travel', 'tripadvisor']",2,0,2,0.6369,0.244,0,0.756,0.5,"LOW","POS",8
"1057",1057,"Dr John Austin Crosby","False","2020-12-20","No side effects apart from a very minor ache in my arm from it’s meant to make you f… ","['PfizerBioNTech', 'CovidVaccine']",2,0,20,-0.6222,0,0.23,0.77,5,"AVG","NEG",8
"1063",1063,"Emi Mei","False","2020-12-20","Because a SETUP is what this Lallapaloola campaign is. ","['vaccination', 'Covid_19', 'COVID', 'vaccine', 'CovidVaccine', 'Pfizer']",3,0,0,0,0,0,1,0,"LOW","NEU",8
"1070",1070,"Stacey","False","2020-12-20"," Do you own stock in Moderna? I bet you don’t own any Pfizer stock. Funny how they are waiting for… ","",1,0,1,0.4404,0.132,0,0.868,0.25,"LOW","POS",8
"1072",1072,"Marcy Martinez","False","2020-12-20","More than 1,800 people received their today bringing the total of vaccinations by our… ","['Covid_19', 'vaccine']",2,3,29,0,0,0,1,9.5,"AVG","NEU",8
"1075",1075,"Marc Siegel MD","False","2020-12-20","FDA investigating five allergic reactions after Pfizer shot in U.S | Reuters - very rare side effect could be… ","",1,7,21,-0.296,0,0.109,0.891,10.5,"HIGH","NEG",8
"1076",1076,"Paul Hsiao, PharmD, RPh","False","2020-12-20"," The jury is still out since we really don’t know if both &amp; vaccine… ","['PfizerBioNTech', 'Moderna', 'Covid_19']",2,0,3,0,0,0,1,0.75,"LOW","NEU",8
"1077",1077,"Rachel Tillery, PhD","False","2020-12-20","I’m experiencing similar side-effects from the ","['PfizerBioNTech', 'COVID19vaccines']",2,0,4,0,0,0,1,1,"LOW","NEU",8
"1078",1078,"Lucid Capital","False","2020-12-29"," has already vaccinated 5% of the population progressing at 1% per day!. By Jan 1st, 33% of 60+ will be va… ","['Israel']",1,0,8,0,0,0,1,2,"AVG","NEU",17
"1079",1079,"ex Frate Gervaso 🇮🇹","False","2020-12-29","Dear mr Trump, stock market is important but mRNA vaccine is experimental... Some state wanna put it mandatory.… ","",1,0,1,0.296,0.167,0,0.833,0.25,"LOW","POS",17
"1081",1081,"Primate sovranista","False","2020-12-28","There's a party!! ","['VaccineDay', 'vaccinoCovid', 'vaccinoday', 'Vaxday', 'COVIDー19', 'Arcuri', 'celofaremo', 'PfizerBioNTech']",3,2,2,0.508,0.621,0,0.379,2,"AVG","POS",16
"1083",1083,"RT The Deplorable","False","2020-12-26"," What are you talking about? We have two viable vaccines. Did you just get the memo? ","['PfizerBioNTech', 'modernavaccine']",2,0,0,0,0,0,1,0,"LOW","NEU",14
"1084",1084,"Dr Carlos Wambier","False","2020-12-25","For those deciding upon risks and benefits. ","['PfizerBioNTech', 'COVID19', 'NEJM']",2,1,3,0.128,0.268,0.216,0.515,1.5,"AVG","POS",13
"1091",1091,"Donna Abu-Nasr","False","2020-12-25","Got one of those after the first dose of in on Christmas Eve. Only side effect s… ","['covidvaccine', 'Riyadh', 'SaudiArabia']",2,9,36,0,0,0,1,15.75,"HIGH","NEU",13
"1096",1096,"Maria Sheikh, MD MPH","False","2020-12-25","A helpful side-by-side comparison of the Looking forward to the 2nd dose of 💉 in ea… ","['CovidVaccines', 'PfizerBioNTech']",2,1,6,0.4215,0.157,0,0.843,2.25,"AVG","POS",13
"1097",1097,"Financial Mirror","False","2020-12-25","Two men died on in as the island prepares for the arrival of the first ","['ChristmasDay', 'Cyprus', 'coronavirus']",2,2,2,-0.5574,0,0.205,0.795,2,"AVG","NEG",13
"1100",1100,"Gulf News","True","2020-12-25"," How you can book an appointment for the in Vaccine is available at six h… ","['COVID19', 'PfizerBioNTech', 'vaccine', 'Dubai']",2,2,11,0,0,0,1,4.25,"AVG","NEU",13
"1101",1101,"د.رنيا الشمرانيDr Ranya Alshumrani","False","2020-12-25","Today I got my COVID-19 vaccine 💉 .I see the light at the end of the tunnel💡 I got it because I know... I got it be… ","",1,1,1,0,0,0,1,1,"LOW","NEU",13
"1105",1105,"Adrian Pacurariu","False","2020-12-25","BREAKING: New against by just arrived in on the ","['vaccine', 'COVID19', 'PfizerBioNTech', 'Romania', 'ChristmasDay']",3,0,1,0,0,0,1,0.25,"LOW","NEU",13
"1113",1113,"Treta","False","2020-12-25","Pfizer vaccine causing more allergic reactions than expected ","['coronavirus']",1,0,0,-0.3597,0,0.263,0.737,0,"LOW","NEG",13
"1115",1115,"Selin Girit","True","2020-12-25","An initial 3m doses of to arrive in Turkey on Monday, overall 50m doses by March. Ankara is also to sign… ","['CoronaVac']",1,1,1,0,0,0,1,1,"LOW","NEU",13
"1119",1119,"Jose","False","2020-12-25"," 💯. Just got CM vaccinated. ","['VaccinesSaveLives', 'PfizerBioNTech']",2,1,1,0,0,0,1,1,"LOW","NEU",13
"1120",1120,"Khaleej Times","True","2020-12-25"," UAE: The first phase of the vaccination campaign was launched in Dubai on Wedne… ","['PfizerCovidVaccine', 'PfizerBioNTech']",2,6,30,0.128,0.103,0,0.897,12,"HIGH","POS",13
"1122",1122,"CGTN","True","2020-12-25","The National Authority for Health said on Thursday it has approved the developed by… ","['French', 'vaccine']",2,12,38,0.4767,0.255,0,0.745,18.5,"HIGH","POS",13
"1123",1123,"Jen Allen","False","2020-12-24","This year has drained health care workers. I know I will be emotional when I get to and get my first… ","",1,0,5,0.3182,0.19,0.099,0.711,1.25,"AVG","POS",12
"1126",1126,"Marika Ntrekos","False","2020-12-24","LETHAL INJECTION 💉 🤣 ","['PfizerBioNTech', 'pfizercovidvaccine', 'PotassiumChloride', 'LethalInjection']",2,104,151,0.4939,0.314,0,0.686,115.75,"HIGH","POS",12
"1127",1127,"Dr Terri MD","False","2020-12-24","Check out my latest article: When the Pediatrician has Vaccine Hesitancy....My Journey to the COVID Vaccine… ","",1,0,0,0,0,0,1,0,"LOW","NEU",12
"1130",1130,"Khaleej Times","True","2020-12-24"," Over 600,000 in get first dose ","['COVID19', 'UK', 'PfizerBioNTech', 'vaccine']",2,1,13,0,0,0,1,4,"AVG","NEU",12
"1133",1133,"Zeinobia is at home 🏡","False","2020-12-24"," ordered 20 mln doses of and 30 mln doses of Vac... via… ","['Egypt', 'PfizerBioNTech', 'AstraZeneca', 'oxford', 'COVID19']",3,0,0,0,0,0,1,0,"LOW","NEU",12
"1137",1137,"Rupinder (Rup) Sahsi, MD 🧠💬","False","2020-12-24","Watching this smooth-operating machine at administering vaccine to local pri… ","['PfizerBioNTech', 'COVID19']",2,17,231,0,0,0,1,70.5,"HIGH","NEU",12
"1141",1141,"Hyder Chattha","False","2020-12-24","As expected... COVID-19 vaccine is causing reactions at a rate that is 'superior' via… ","",1,11,14,0.5423,0.212,0,0.788,11.75,"HIGH","POS",12
"1145",1145,"Scott Mackay 🇨🇦 🏃‍♂️ ☕️ 🍷 8⃣0⃣ 🎵","False","2020-12-24","New data favour administering vaccines as fast as possible, not reserving doses v… ","['COVID_19']",1,0,1,0.4404,0.195,0,0.805,0.25,"LOW","POS",12
"1146",1146,"Matthew Brown","False","2020-12-24","Working the COVID vaccine clinic all day today. Lots of happy people getting vaccinated! ","['PfizerBioNTech', 'COVID19']",2,0,11,0.6114,0.235,0,0.765,2.75,"AVG","POS",12
"1153",1153,"TheBrew.ae","False","2020-12-24","The will be made available free-of-charge to all individuals on a voluntarily basis in ","['vaccine', 'Dubai']",2,0,1,0,0,0,1,0.25,"LOW","NEU",12
"1154",1154,"Mateen Jiwani","False","2020-12-24","So pleased to get my vaccine! 💉 It is so important that as many people as possible get v… ","['PfizerBioNTech', 'Covid_19']",2,4,25,0.7051,0.256,0,0.744,9.25,"AVG","POS",12
"1156",1156,"Whtrslugcaviiersong#dontstayhomeandcatchcovid19","False","2020-12-24"," 🇬🇧 led 🌎 to 🇬🇧 under ","['PfizerBioNTech', 'CovidVaccine', 'conservatives', 'borisjohnson', 'ukprimeminister']",3,0,0,0,0,0,1,0,"LOW","NEU",12
"1158",1158,"Saju Mathew MD MPH","False","2020-12-24","I am scheduled for my vaccine! Putting fears aside anytime you get a new I am more than c… ","['PfizerBioNTech', 'vaccine']",2,0,22,-0.4753,0,0.147,0.853,5.5,"AVG","NEG",12
"1161",1161,"TheBrew.ae","False","2020-12-24","WATCH: 'Grateful' and 'proud' say the first in UAE to receive the jabs. 🇦🇪💉… ","['PfizerBioNTech']",1,0,1,0.7269,0.319,0,0.681,0.25,"LOW","POS",12
"1162",1162,"Jorge Garreton","False","2020-12-24","Chile today begins its vaccination with arrival of vaccine today. 10K dosis are to be dis… ","['COVID19', 'PfizerBioNTech']",2,1,7,0,0,0,1,2.5,"AVG","NEU",12
"1167",1167,"Carol Hafner for Congress","True","2020-12-24"," ","['Health', 'DrFauci', 'COVID19', 'coronavirus', 'vaccine', 'corona', 'vaccination', 'vaccines', 'VaccinesWork', 'CDC', 'FDA']",3,0,0,0,0,0,0,0,"LOW","NEU",12
"1169",1169,"MuesliBrown","False","2020-12-24","Pfizer’s principal research scientist, born Vidia Surendra Roopchand is humbled by the experience of helpin… ","['Guyana']",1,0,0,0,0,0,1,0,"LOW","NEU",12
"1170",1170,"Hyro - Vaccinate with VAXA Today","False","2020-12-24"," Unveils Solution to Help Hospitals Avoid Being Overwhelmed by Patients Seeking Vac… ","['ConversationalAI', 'COVID19']",2,2,0,0.4588,0.378,0.134,0.488,1.5,"AVG","POS",12
"1171",1171,"Obergruppenführer Matthaeus Hand-Kok","False","2020-12-24","It’s safe! Just take it! As quickly as you all can! It’s the only way (we will let you) out!!! ","['vaccine']",1,1,0,0.6209,0.176,0,0.824,0.75,"LOW","POS",12
"1175",1175,"Aна Брнабић","True","2020-12-24","Today is a big day, vaccination started! It is my duty to be the first to receive the vaccine again… ","['PfizerBioNTech']",1,18,57,0,0,0,1,27.75,"HIGH","NEU",12
"1180",1180,"Gulf News","True","2020-12-24"," How you can book an appointment for the in Vaccine is available at six h… ","['COVID19', 'PfizerBioNTech', 'vaccine', 'Dubai']",2,1,4,0,0,0,1,1.75,"AVG","NEU",12
"1181",1181,"Gulf News Video","False","2020-12-24"," How to book appointment for Watch the full ","['Dubai', 'Pfizervaccine', 'Video']",2,6,12,0,0,0,1,7.5,"AVG","NEU",12
"1183",1183,"Saudi Gazette","True","2020-12-24"," Vaccination against begins in as first batches of vaccine has arrived… ","['BREAKING', 'COVID19', 'Jeddah', 'PfizerBioNTech']",2,50,336,0,0,0,1,121.5,"HIGH","NEU",12
"1184",1184,"Khaleej Times","True","2020-12-24","KT Opinion: If your favourite celeb takes the Covid jab, will you too? Celebrities play a huge role in influencin… ","",1,0,3,0.5719,0.207,0,0.793,0.75,"LOW","POS",12
"1186",1186,"عبدالله الشايجي","True","2020-12-24"," P.M. Sheikh Sabah AlKhaled AlSabah inaugurated the national campaign to vaccinate Kuwaitis &amp; expatriates wi… ","['Kuwait']",1,2,5,0,0,0,1,2.75,"AVG","NEU",12
"1189",1189,"Michael Gallagher","False","2020-12-24","Positive end to a very challenging year. Amazing to have vaccines in 2020 - a fantastic scientific achievement! Mer… ","",1,0,5,0.9253,0.473,0,0.527,1.25,"AVG","POS",12
"1190",1190,"Ceri-Anne Ashby","False","2020-12-24","Day six post and I am absolutely fine - no pain, no side effects at all. Had Covid… ","['PfizerBioNTech', 'CovidVaccine']",2,0,3,0.7137,0.362,0,0.638,0.75,"LOW","POS",12
"1195",1195,"DT Next","True","2020-12-24","Only 1 million shots of the vaccine had been given so far in US states, putting… ","['PfizerBioNTech', 'COVID19']",2,1,1,0,0,0,1,1,"LOW","NEU",12
"1197",1197,"Shuja Ahmed Ch.","False","2020-12-24","Jacintha, nurse at Dubai Hospital, poses after getting the at Al Barsha Health Cent… ","['PfizerBioNTech', 'Covid19vaccine']",2,0,0,0,0,0,1,0,"LOW","NEU",12
"1200",1200,"WAM English","True","2020-12-24","UAE Press: vaccine rollout timely and important ","['PfizerBioNTech', 'WamNews']",2,0,2,0.2023,0.231,0,0.769,0.5,"LOW","POS",12
"1204",1204,"Khaleej Times","True","2020-12-24","70-year-old Emirati Abdullah was among the first few to take the at Al Barsha healt… ","['PfizerBioNTech', 'Covid19Vaccine']",2,3,13,0,0,0,1,5.5,"AVG","NEU",12
"1206",1206,"Khaleej Times","True","2020-12-24","Jacintha, a nurse at Hospital, poses after getting the Covid-19 vaccine at Al Barsha Health… ","['Dubai', 'PfizerBioNTech']",2,0,24,0,0,0,1,6,"AVG","NEU",12
"1207",1207,"Khaleej Times","True","2020-12-24","70-year-old Abdullah was among the first few to take the at Al Barsha Health… ","['Emirati', 'PfizerBioNTech', 'CovidVaccine']",2,9,62,0,0,0,1,22.25,"HIGH","NEU",12
"1209",1209,"حسن سجواني 🇦🇪 Hassan Sajwani","True","2020-12-24","This is the UAE 🇦🇪 ❤️🙏🏼 - expats and Emiratis are all sons and daughters of this great nation ! . Mrs. Lidwin Rebel… ","",1,1,40,0.7325,0.151,0,0.849,10.75,"HIGH","POS",12
"1212",1212,"Agrivina Gripeus","False","2020-12-24","24 hours post Covid vaccine, some muscle and joint aches. Swollen glands. Felt crappy, took ibuprofen and now I feel fine.","['PfizerBioNTech']",1,0,4,-0.5859,0.071,0.22,0.709,1,"LOW","NEG",12
"1219",1219,"Krishna Maringanti","False","2020-12-24"," Any guarantee that &amp; did not favourably manipulate results?[This com… ","['PfizerBioNTech', 'Moderna', 'SputnikV']",2,0,0,0.25,0.182,0,0.818,0,"LOW","POS",12
"1220",1220,"Gulf News","True","2020-12-24"," : All you want to know ","['PfizerBioNTech', 'vaccine', 'COVID19', 'coronavirus']",2,6,15,0.0772,0.206,0,0.794,8.25,"AVG","POS",12
"1224",1224,"Colleen S. Kraft","True","2020-12-24"," Vaccine. Then I Voted Now I start my Vacation. ","['PfizerBioNTech', 'georgiarunoff2020', 'MerryChristmas2020']",2,3,134,0,0,0,1,35.75,"HIGH","NEU",12
"1227",1227,"Dr. Lisa Ganjhu","False","2020-12-24","So incredibly grateful to the scientific and medical community that banded together in vaccine development. With a… ","",1,1,26,0.5531,0.182,0,0.818,7.25,"AVG","POS",12
"1228",1228,"Prisca Benson","False","2020-12-24","Got the vaccine by I've never been so eager to get a shot. I just want this drama over AS… ","['COVID19', 'PfizerBioNTech']",2,1,7,0.5486,0.201,0,0.799,2.5,"AVG","POS",12
"1230",1230,"Laura Lynn Tyler Thompson","False","2020-12-24","You will be patented and you will be happy! 😀 ","['PfizerBioNTech', 'Pfizervaccine', 'PfizerCovidVaccine', 'Moderna']",2,14,22,0.7574,0.419,0,0.581,16,"HIGH","POS",12
"1231",1231,"Canadian Advocacy Centre 4 Health Safety & Justice","False","2020-12-24"," Vaccine Update for - 5,052 'Health Impact Events' in the first 5 days of administration in… ","['COVID19', 'PfizerBioNTech']",2,2,2,0,0,0,1,2,"AVG","NEU",12
"1238",1238,"Annoyed Scientist","False","2020-12-23","Genuine question, out of those that have taken the vaccine, have you had any arm soreness or other effects?… ","['Pfizer']",1,0,1,0,0,0,1,0.25,"LOW","NEU",11
"1239",1239,"𝓟𝓪𝓲𝓰𝓮","False","2020-12-23","Freshly vaccinated ","['CovidVaccine', 'covid', 'PfizerBioNTech']",2,0,4,0,0,0,1,1,"LOW","NEU",11
"1240",1240,"Stephanie Bennett","False","2020-12-23","Tonight on at 5: I’ll tell you about some differences between the vax and the… ","['Moderna']",1,1,9,0,0,0,1,3,"AVG","NEU",11
"1241",1241,"Dr. Naveed","False","2020-12-23","Vaccination time 💉 ","['PfizerBioNTech']",1,1,13,0,0,0,1,4,"AVG","NEU",11
"1243",1243,"Laura Burton 💙","False","2020-12-23","Proud to be part of the mass vaccination programme against covid-19 💉… ","['WeGPNs', 'PfizerBioNTech', 'PCN', 'teamwork']",2,5,50,0.4767,0.22,0,0.78,16.25,"HIGH","POS",11
"1246",1246,"Helen Chadwick","False","2020-12-23","A huge thank you to everyone who is working so hard Centre. You are all amazing! And to al… ","['vaccination']",1,7,56,0.7921,0.345,0.072,0.582,19.25,"HIGH","POS",11
"1253",1253,"89.1 Max FM","False","2020-12-23","PM Says Additional Quarter Of A Million Pfizer Vaccine Doses On The Way ","['Canada', 'Covid19']",2,0,0,0,0,0,1,0,"LOW","NEU",11
"1256",1256,"Gulf News","True","2020-12-23"," Who can have the jab, and who can’t? Your questions answered ","['PfizerBioNTech', 'vaccine']",2,9,34,0,0,0,1,15.25,"HIGH","NEU",11
"1257",1257,"John","False","2020-12-23","Feeling incredibly to have received the of the ","['humbled', 'firstdose', 'COVID19', 'nhs', 'vaccine', 'bestchristmaspresentever']",3,0,8,0.128,0.176,0,0.824,2,"AVG","POS",11
"1260",1260,"Superb Speakers","False","2020-12-23"," Pfizer-Biontech adds 100 Million More Doses To - Good News And… ","['400MillionVaccineDosesBySummer', 'USASupply']",2,0,0,0.4404,0.225,0,0.775,0,"LOW","POS",11
"1261",1261,"Ian Bailey","True","2020-12-23","40 million dose order of vaccine arriving in “in the coming days,” says at… ","['Moderna', 'COVID19', 'Canada']",2,4,18,0,0,0,1,7.5,"AVG","NEU",11
"1263",1263,"Lovin Dubai | لوڤن دبي","True","2020-12-23","EXCLUSIVE!! ","['vaccine', 'Pfizer', 'Pfizervaccine', 'PfizerBioNTech', 'PfizerCovidVaccine', 'dubai', 'uae']",3,1,1,0.2695,1,0,0,1,"LOW","POS",11
"1264",1264,"Bill Blair","True","2020-12-23","This year has been tough, but there is a light at the end of the tunnel, and it’s arrived in Hearte… ","['Scarborough']",1,3,15,-0.0644,0,0.059,0.941,6,"AVG","NEG",11
"1266",1266,"UHealth Jackson Children’s Care","False","2020-12-23","One week after receiving the COVID-19 vaccine, we're full of hope that this is the beginning of the… ","['PfizerBioNTech']",1,1,1,0.4404,0.146,0,0.854,1,"LOW","POS",11
"1267",1267,"Happy life","False","2020-12-23","No one vaccine can be side-effect free. Most vaccines deliver 'reactogenic' side-effects... ","['Moderna', 'COVID19']",2,1,2,0.2732,0.213,0.142,0.645,1.25,"AVG","POS",11
"1270",1270,"Jackson Health System","False","2020-12-23","One week after receiving the COVID-19 vaccine, we're full of hope that this is the beginning of the… ","['PfizerBioNTech']",1,11,31,0.4404,0.146,0,0.854,16,"HIGH","POS",11
"1271",1271,"Gulf News","True","2020-12-23","First recipients of in share experience. Happy to be setting a precedent, they say… ","['PfizerBioNTech', 'vaccine', 'Dubai']",2,0,9,0.7096,0.33,0,0.67,2.25,"AVG","POS",11
"1282",1282,"Getty Images News","True","2020-12-23","Jorge Alcocer, Secretary of Health shows the tracking ticket during the arrival of the first batch of the… ","",1,14,45,0,0,0,1,21.75,"HIGH","NEU",11
"1289",1289,"Gulf News","True","2020-12-23"," Who can have the jab, and who can’t? Your questions answered ","['PfizerBioNTech', 'vaccine']",2,0,6,0,0,0,1,1.5,"AVG","NEU",11
"1293",1293,"Whtrslugcaviiersong#dontstayhomeandcatchcovid19","False","2020-12-23"," 🇬🇧 leads 🌎 to 🇬🇧 banned from parts of 🌎… ","['covidvaccinereality', 'covid19vaccinereality', 'PfizerBioNTech']",2,0,0,-0.4588,0,0.188,0.812,0,"LOW","NEG",11
"1298",1298,"Fraendy Clervaud","True","2020-12-23","BREAKING: The U.S. is set to receive additional doses of the under a new deal… ","['PfizerBioNTech', 'coronavirusvaccine']",2,3,1,0,0,0,1,2.5,"AVG","NEU",11
"1299",1299,"Khaleej Times","True","2020-12-23","Dubai announced that all residents can get a shot of the vaccine for free, starting Wednes… ","['COVID19', 'PfizerBioNTech']",2,35,99,0.5106,0.18,0,0.82,51,"HIGH","POS",11
"1300",1300,"Marc Siegel MD","False","2020-12-23","Dr. Marc Siegel receives COVID-19 vaccine live at NYU Langone hospital ","['CovidVaccine']",1,4,39,0,0,0,1,12.75,"HIGH","NEU",11
"1302",1302,"John Stokes","False","2020-12-23"," Feeling very happy that my parents received their first today - thanks t… ","['PfizerBioNTech', 'vaccination']",2,2,4,0.8122,0.456,0,0.544,2.5,"AVG","POS",11
"1307",1307,"About Pakistan","False","2020-12-23","European Union Drug Regulator Approves Pfizer-BioNTech Covid Vaccine For Emergency Use ","['COVID19', 'CovidVaccines']",2,0,0,0.0258,0.189,0.182,0.629,0,"LOW","NEU",11
"1308",1308,"حسن سجواني 🇦🇪 Hassan Sajwani","True","2020-12-23"," Dubai’s starts injecting vaccine 💉 today, first persons to receive are: Mr. A… ","['BREAKING', 'PfizerBioNTech']",2,3,48,0,0,0,1,14.25,"HIGH","NEU",11
"1309",1309,"Ashleigh Stewart","True","2020-12-23","LATEST: The vaccine will initially be rolled out in to people over 60 and frontline workers.… ","['PfizerBioNTech', 'Dubai']",2,2,18,0,0,0,1,6,"AVG","NEU",11
"1310",1310,"Gulf News","True","2020-12-23"," launches vaccination campaign for Vaccines to be administered free of cha… ","['Dubai', 'COVID19', 'PfizerBioNTech', 'vaccine']",2,28,75,0.5106,0.248,0,0.752,39.75,"HIGH","POS",11
"1311",1311,"New Straits Times","True","2020-12-23"," The government would negotiate with to increase the supply from 12.8 million doses to 2… ","['NSTnation', 'Pfizer', 'vaccine']",2,12,9,0.3182,0.141,0,0.859,11.25,"HIGH","POS",11
"1315",1315,"New Straits Times","True","2020-12-23"," said the RM3 billion allocation approved by the government on the purchase of was on… ","['NSTnation', 'vaccines']",2,2,4,0.4215,0.167,0,0.833,2.5,"AVG","POS",11
"1316",1316,"David Lee","False","2020-12-23"," Which non resident and non taxpayer of the UK was among the first to… ","['dontbuythesun', 'Hypocrites']",2,1,2,0,0,0,1,1.25,"AVG","NEU",11
"1324",1324,"planetarysound 🇮🇹","False","2020-12-23","As a chef, if I am responsible for a customer's death due to food poisoning or anaphylaxis, I will go to jail. A… ","",1,1,2,-0.7506,0.077,0.257,0.667,1.25,"AVG","NEG",11
"1325",1325,"WAM English","True","2020-12-23"," SkyCargo transports first batch of vaccines for Health Authority… ","['Emirates', 'PfizerBioNTech', 'COVID19', 'Dubai']",2,1,4,0,0,0,1,1.75,"AVG","NEU",11
"1326",1326,"ILKHA","True","2020-12-23","The number of coronavirus infections rises to 78,425,044 worldwide ","['coronavirus', 'COVID20', 'vaccines']",2,2,2,0.0772,0.14,0,0.86,2,"AVG","POS",11
"1329",1329,"Martin H.","False","2020-12-23","Interview with Ugur Sahin from / on the (in german) ","['Biontech', 'PfizerBioNTech', 'vaccine']",2,0,1,0,0,0,1,0.25,"LOW","NEU",11
"1330",1330,"AlShorts","False","2020-12-23","Supreme Committee of Crisis and Disaster Management will start COVID-19 campaign in… ","['PfizerBioNTech', 'vaccination']",2,0,2,-0.6808,0.173,0.394,0.433,0.5,"LOW","NEG",11
"1335",1335,"Khaleej Times","True","2020-12-23","How effective is the vaccine? About 95% — that is a very healthy number. The World Health Organisation has said i… ","",1,0,2,0.7698,0.299,0,0.701,0.5,"LOW","POS",11
"1337",1337,"Khaleej Times","True","2020-12-23","[Dubai's free drive] The “mRNA vaccine” developed by US pharmaceutical company and… ","['COVID19', 'PfizerVaccine', 'Pfizer']",2,0,5,0.5106,0.231,0,0.769,1.25,"AVG","POS",11
"1338",1338,"Khaleej Times","True","2020-12-23","Dubai is rolling out the against the virus starting today. Here's what we know so far… ","['PfizerVaccine', 'COVID19']",2,13,38,0,0,0,1,19.25,"HIGH","NEU",11
"1342",1342,"imran malik","False","2020-12-23","BREAKING: Dubai to begin Pfizer vaccine for residents 'free of charge' from 'TODAY' ","['Dubai', 'UAE', 'pfizer']",2,0,0,0.5106,0.216,0,0.784,0,"LOW","POS",11
"1346",1346,"Susan Shaw Wear a Mask Save a Life","True","2020-12-23","1st dose is in &amp; I am SO grateful! Over the months ahead will offer everyone the… ","['PfizerBioNTech']",1,27,459,0.7248,0.241,0,0.759,135,"HIGH","POS",11
"1349",1349,"Deji Adegunsoye","False","2020-12-23","I did it! For me, my family, my friends, ...pretty much everyone around me! LOVE IS A VERB! ","['GetVaccinated']",1,7,79,0.9203,0.447,0,0.553,25,"HIGH","POS",11
"1350",1350,"Doc_Brewster (Brew)","False","2020-12-23","Super grateful to receive a COVID-19 vaccination today. Keeping myself and my patients safe!! . .… ","",1,1,7,0.8856,0.444,0,0.556,2.5,"AVG","POS",11
"1351",1351,"Hector Cajigas","False","2020-12-23","Got it! Hope everyone does! ⁦ ⁦ ","['PfizerBioNTech']",1,0,28,0.5399,0.367,0,0.633,7,"AVG","POS",11
"1352",1352,"Victor Kaytser, MD","False","2020-12-23","Boom! 💥 Right in the delt! Grateful to be given this opportunity. ⁦ ⁦ ⁦ ✅ 1 of 2 💉🤗… ","",1,0,4,0.7983,0.291,0.075,0.634,1,"LOW","POS",11
"1353",1353,"Dr. Nina L. Shapiro","True","2020-12-23","Great chat about truths and myths about and with ","['covid', 'covidvaccine', 'PfizerBioNTech', 'modernavaccine']",2,2,6,0.7845,0.496,0,0.504,3,"AVG","POS",11
"1355",1355,"Covid-19 Drug Evidence Initiative (CDEI)","False","2020-12-22","VACCINE REVIEW: interim report of their vaccine efficacy ( ","['PfizerBioNTech', 'COVID19', 'bnt162b2', 'RCT', 'MedTwitter']",3,8,12,0,0,0,1,9,"AVG","NEU",10
"1356",1356,"can't think","False","2020-12-22"," Did you take this If no WHY NOT? ","['vaccine', 'COVID19', 'COVID', 'vaccination', 'vaccines', 'VaccinesSaveLives']",3,0,0,-0.296,0,0.239,0.761,0,"LOW","NEG",10
"1358",1358,"Anita Anand","True","2020-12-22","Welcoming the first vaccines to &amp; today! Thank you to our who… ","['PfizerBioNTech', 'Oakville', 'Halton', 'HealthcareHeroes']",2,5,44,0.69,0.363,0,0.637,14.75,"HIGH","POS",10
"1360",1360,"Dr Reena Aggarwal","False","2020-12-22","was a real pleasure to volunteer on my post nights shift to consent patients, staff and key workers a… ","",1,0,3,0.6808,0.248,0,0.752,0.75,"LOW","POS",10
"1369",1369,"Dipanwita (Dipa) Mitra","False","2020-12-22","Yay!! I got my COVID-19 vaccine at UMMC and I am feeling fine 😃 ","",1,1,8,0.8309,0.411,0,0.589,2.75,"AVG","POS",10
"1370",1370,"Dr. Rami Oweini","False","2020-12-22","Tremendous efforts...for a better mankind! ","['Pfizer', 'PfizerBioNTech', 'pfizercovidvaccine', 'COVID19']",2,1,1,0.5355,0.463,0,0.537,1,"LOW","POS",10
"1372",1372,"Callie Rainey","False","2020-12-22","The clinic is underway. The is being administered in Kalamazoo County right now!… ","['PfizerBioNTech', 'COVID19', 'Vaccine']",2,1,2,0,0,0,1,1.25,"AVG","NEU",10
"1373",1373,"ViEli","False","2020-12-22","“We are protecting the high risk.” - BULL SHIT! If that were true, 16 yo grocery workers wouldn’t… ","",1,0,0,-0.4263,0.12,0.197,0.683,0,"LOW","NEG",10
