"","X","user_name","user_verified","date","text","hashtags","hashtags_count","retweets","favorites","compound_score","positive_score","negative_score","neutral_score","popularity_score","popularity_score_ctg","overall_sentiment","tweet_age"
"6011",6011,"Fareeha 💙","False","2021-02-24","So happy and emotional - Got my first dose of PfizerBioNtech vaccine today. So grateful to the amazing Thank… ","['NHS']",1,2,2,0.9263,0.474,0,0.526,2,"AVG","POS",74
"278",278,"rao tadepalli","False","2020-12-13","What we can learn from the victory over A good refresher on how polio came to an end. Let's not forget… ","['Polio']",1,1,7,0.4404,0.127,0,0.873,2.5,"AVG","POS",1
"7508",7508,"Heather Fagans","False","2021-03-31","First round of nanobots and microchips on board. I wonder when I show up on their deep state tracking system?… ","",1,0,2,0,0,0,1,0.5,"LOW","NEU",109
"398",398,"RFI English","True","2020-12-15","EU hopes for by Christmas as regulator moves forward assessment for jab to 21 Decem… ","['vaccine', 'EMA', 'PfizerBioNTech']",2,2,2,0.4215,0.167,0,0.833,2,"AVG","POS",3
"635",635,"ILKHA","True","2020-12-18","Russia’s coronavirus death toll rises to 49,762 ","['Russia', 'coronavirus', 'PfizerBioNTech', 'COVID19']",2,2,5,-0.5994,0,0.394,0.606,2.75,"AVG","NEG",6
"6769",6769,"Will O’Bryan 🇺🇸🇺🇳🏳️‍🌈","False","2021-03-11","Filled w/ for 1st shot today. Thank you + + + frontline workers! A… ","['gratitude', 'PfizerBioNTech']",2,0,0,0.4199,0.177,0,0.823,0,"LOW","POS",89
"4133",4133,"Rachael Woodman","False","2021-01-21","I hope and the rest of them make the right decision and revise the dos… ","['PfizerBioNTech']",1,0,0,0.4404,0.172,0,0.828,0,"LOW","POS",40
"5401",5401,"Maayan Lubell","False","2021-02-10"," has become the world's biggest real-world study of vaccine and 1st results show t… ","['Israel', 'PfizerBiontech', 'covid']",2,6,8,0,0,0,1,6.5,"AVG","NEU",60
"5511",5511,"Dover Liz","False","2021-02-11","So happy to have received my first dose of vaccine. Thanks to all the scientists who have made this possible and a… ","",1,0,5,0.7841,0.256,0,0.744,1.25,"AVG","POS",61
"7624",7624,"Hiram Pobrino","False","2021-03-29","Hear me out: we manufacture our own variant that is more transmissable and less fatal and let it out-compete the vi… ","",1,1,0,-0.4951,0,0.138,0.862,0.75,"LOW","NEG",107
"1146",1146,"Matthew Brown","False","2020-12-24","Working the COVID vaccine clinic all day today. Lots of happy people getting vaccinated! ","['PfizerBioNTech', 'COVID19']",2,0,11,0.6114,0.235,0,0.765,2.75,"AVG","POS",12
"3476",3476,"Sophie","False","2021-01-15","Getting my Vaccine tomorrow, little scary but it must be done ","['KickCoronasArse', 'PfizerBioNTech']",2,0,3,-0.2391,0,0.163,0.837,0.75,"LOW","NEG",34
"4996",4996,"Susana Lazarte, MD","False","2021-01-30","Got rhinovirus URI 2.5 wks after 2nd dose of 6 days later uri almost gone but then s… ","['PfizerBioNTech', 'CovidVaccine']",2,0,2,0,0,0,1,0.5,"LOW","NEU",49
"2638",2638,"Claire Howard","False","2021-01-08","Delighted to get the first part of the vaccinee complete 💪💪💪💪 ","['PfizerBioNTech', 'CovidVaccine', 'super']",2,0,6,0.5106,0.163,0,0.837,1.5,"AVG","POS",27
"789",789,"Chemist+Druggist","True","2020-12-19","Academic: Pharmacists critical to easing COVID-19 vaccine concerns ","['CovidVaccine', 'PfizerBioNTech']",2,0,0,-0.0772,0.194,0.223,0.583,0,"LOW","NEG",7
"3247",3247,"Ben Chipkin, MS","False","2021-01-13","We Couples Vaxxed! 🦠💉 Unspeakable gratitude to the scientists, healthcare workers, food industry workers, people tr… ","",1,1,10,0.5562,0.183,0,0.817,3.25,"AVG","POS",32
"1922",1922,"Dr Marina Soltan 💙","False","2020-12-31","Secondly a massive thankYOU to the researchers who have worked tirelessly to advance our knowledge of in a… ","['COVID19']",1,1,8,0,0,0,1,2.75,"AVG","NEU",19
"1977",1977,"Simon Hodes ⬅️2m➡️ 😷","False","2020-12-31"," advice please 🙏 ⬇️ ","['CovidVaccine', 'PfizerBioNTech']",2,30,45,0.3182,0.315,0,0.685,33.75,"HIGH","POS",19
"2666",2666,"Steve Krikler","False","2021-01-08"," Anecdotally, all our staff w… ","['PfizerBioNTech']",1,0,3,0,0,0,1,0.75,"LOW","NEU",27
"3454",3454,"Back Stronger 💪","False","2021-01-15","Anyone else shattered all the time since having their 😩","['PfizerBioNTech', 'PfizerVaccine', 'PfizerCovidVaccine', 'vaccineUK']",2,0,0,-0.6369,0,0.366,0.634,0,"LOW","NEG",34
"6656",6656,"S. Payam Kamiab","False","2021-03-08","846 recorded post-vaccination deaths in Denmark as of 10th february, after receiving the vaccine ac… ","['PfizerBioNTech']",1,3,6,0,0,0,1,3.75,"AVG","NEU",86
"2488",2488,"Yvonne Ryan-Fogarty","False","2021-01-06","My aunt got her second shot of vaccine today! Nice news for Nollaig na mBan as this she is one of t… ","['PfizerBioNTech']",1,2,41,0.4753,0.128,0,0.872,11.75,"HIGH","POS",25
"814",814,"Toni Kappesz","False","2020-12-19"," had nothing to do with vaccines... ","['OWS', 'PfizerBioNTech', 'stopthelies', 'useless', 'corruptGOP']",3,0,0,0,0,0,1,0,"LOW","NEU",7
"1656",1656,"Alexandra Ritts","False","2020-12-26","Words can’t express how grateful I am to all those who made the COVID vaccines possible and looking forward to the… ","",1,0,7,0.4588,0.13,0,0.87,1.75,"AVG","POS",14
"6023",6023,"Mark 🎧🎶😷🔴⚪️💙","False","2021-02-24","why am I not surprised 😒 that Morrison Govt outsourced COVID vaccination to a private contractor Healthcare Austra… ","",1,22,27,-0.1695,0,0.085,0.915,23.25,"HIGH","NEG",74
"1461",1461,"Mark Lobel","False","2020-12-22","🚨 The EU now has a vaccine it can roll out to hundreds of millions... Their more ‘careful’ regulator will review… ","",1,2,3,0,0,0,1,2.25,"AVG","NEU",10
"2320",2320,"🕷Financial Bear 3.5%","False","2021-01-05"," PLEASE note says vaccine must be administe… ","['Whitty', 'PfizerBioNTech']",2,0,0,0.4648,0.336,0,0.664,0,"LOW","POS",24
"7412",7412,"Ahmed J Versi","False","2021-04-02","US drug maker Pfizer &amp; German partner BioNTech announced their is effective up to 6 months after… ","['COVID19', 'vaccine']",2,0,0,0.4767,0.162,0,0.838,0,"LOW","POS",111
"2333",2333,"ᒍEᔕᔕIᑕᗩ EᐯEᖇᔕᕼEᗪ","False","2021-01-05","Managed to get mum her Now I am haunted by a vision of the country being run by 80 year ol… ","['secondvaccination', 'win']",2,0,0,-0.2732,0.083,0.129,0.788,0,"LOW","NEG",24
"4956",4956,"Monique 🍹","False","2021-01-29","1st dose done ☑ ","['PfizerBioNTech', 'GetVaccinated']",2,1,9,0,0,0,1,3,"AVG","NEU",48
"7552",7552,"PaminIowa","False","2021-03-31","I better get my on Saturday when I get my 2nd vaccine. Thanks to scientists &amp;… ","['CovidPassport', 'PfizerBioNTech']",2,0,1,0.7003,0.293,0,0.707,0.25,"LOW","POS",109
"5865",5865,"www.THEPIGEONEXPRESS.com","False","2021-02-25","Pfizer-BioNTech COVID vaccine is 94% effective in a huge real world study ","['Coronavirus', 'COVID', 'COVID19']",2,0,0,0.6597,0.351,0,0.649,0,"LOW","POS",75
"2489",2489,"Conor","False","2021-01-06","Delighted that I got the first dose of the yesterday at Glasgow Royal Infirmary despi… ","['PfizerBioNTech', 'CovidVaccine']",2,0,7,0.5106,0.191,0,0.809,1.75,"AVG","POS",25
"7208",7208,"Lady Danbury's Favorite sister","False","2021-03-24","2nd shot and thats that! she’s coming to get her life back...☺️😉🙃 ","['PfizerBioNTech']",1,0,2,0.5093,0.162,0,0.838,0.5,"LOW","POS",102
"3622",3622,"ILKHA","True","2021-01-15","Turkey’s death toll from COVID-19 reaches 23,664 ","['CoronaVac', 'Turkey', 'Sinovac', 'PfizerBioNTech']",2,2,7,-0.5719,0.119,0.386,0.495,3.25,"AVG","NEG",34
"528",528,"Higher Rock Education","False","2020-12-16"," for 1⃣ 2M additional doses of the will be distributed nex… ","['3ThingstoKnow', 'Wednesday', 'PfizerBioNTech', 'CovidVaccine']",2,1,2,0,0,0,1,1.25,"AVG","NEU",4
"5385",5385,"The Girl With No Name","False","2021-02-15","Omg my sister also ill from your poison.....what kind of people are… ","['Pfizer', 'PfizerVaccine', 'PfizerBiontech']",2,1,4,-0.4215,0,0.203,0.797,1.75,"AVG","NEG",65
"5414",5414,"Contagion","False","2021-02-09","The UK announced it is beginning a 2-dose study using one dose of the and then on… ","['PfizerBioNTech', 'COVID19', 'vaccine']",2,2,4,0,0,0,1,2.5,"AVG","NEU",59
"7065",7065,"Bassem Mroue باسم مروه","True","2021-03-20","Dr. Abdul Rahman Bizri, who heads the committee supervising vaccination campaign says politicians who go… ","['Lebanon']",1,9,21,0,0,0,1,12,"HIGH","NEU",98
"1674",1674,"Kristy Fogle 💙⚖️🔥","False","2020-12-28","💉 Just received the 1st dose of the vaccine as part of the first 🌊 of healthcare provider vaccinati… ","['PfizerBioNTech']",1,1,2,0,0,0,1,1.25,"AVG","NEU",16
"3690",3690,"Paul Madden","False","2021-01-15","THANK, SCIENCE! ","['covidvacccine', 'pfizerbiontech']",2,0,7,0.4199,0.736,0,0.264,1.75,"AVG","POS",34
"2909",2909,"Neena S Abraham MD","False","2021-01-08"," 2nd dose 💉 live-stream image of 2nd dose recruiting antibodies to my fightin… ","['MyCOVIDVax', 'PfizerBioNTech', 'COVID19']",2,5,40,0,0,0,1,13.75,"HIGH","NEU",27
"5899",5899,"Dr. Melvin Sanicas 🩺🔬","False","2021-02-20","More from &amp; is highly effective after just 1 dose &amp;… ","['GoodNews', 'PfizerBioNTech', 'COVID', 'vaccine']",2,28,64,0.5256,0.253,0,0.747,37,"HIGH","POS",70
"1375",1375,"Simone Baglivo","False","2020-12-22","Italian Medicines Agency ( General Manager, Nicola appears emotional while announcing the… ","['Magrini']",1,0,0,0.1531,0.127,0,0.873,0,"LOW","POS",10
"6135",6135,"Rowan Stanfield","False","2021-02-24","Got vaccinated. Feels like the first leap out of the murky depths in which I've flailed for the past 11 months.… ","",1,0,9,0.3612,0.111,0,0.889,2.25,"AVG","POS",74
"193",193,"ILKHA","True","2020-12-13","Turkey’s coronavirus death toll reaches 16,417 ","['CoronavirusPandemic', 'Turkey', 'PfizerBioNTech']",2,3,2,-0.5719,0.132,0.429,0.44,2.75,"AVG","NEG",1
"404",404,"AFP News Agency","True","2020-12-15"," The EU's medicines regulator the on Tuesday dramatically advanced the decision day for the… ","['UPDATE', 'EMA']",2,8,23,0.25,0.133,0,0.867,11.75,"HIGH","POS",3
"2900",2900,"Saju Mathew MD MPH","False","2021-01-08","Preliminary studies show vaccine will work against the ","['PfizerBioNTech', 'ukstrain']",2,0,5,0,0,0,1,1.25,"AVG","NEU",27
"5733",5733,"Kempton Lam 🇨🇦","False","2021-02-17","Well, shall we actually defer 2nd dose base on data (small N)? ","['PfizerBioNTech', 'vaccine']",2,0,0,-0.0258,0.147,0.154,0.699,0,"LOW","NEU",67
"5370",5370,"🌱Cats & Shielding 🌱","False","2021-02-08","If the &amp; vaccines work on the dominant U.K. Kent variant (and reduce spread) but… ","['AstraZeneca', 'PfizerBiontech', 'B117']",2,1,10,0,0,0,1,3.25,"AVG","NEU",58
"5148",5148,"Kenneth Baer","True","2021-02-03","Both parents got the second vaccination today! Thank you, and ","['PfizerBiontech', 'science']",2,1,46,0.4199,0.237,0,0.763,12.25,"HIGH","POS",53
"5372",5372,"Werner Hochleitner","False","2021-02-08","Ach Twitter.... :-/ ","['zensur', 'Impfstoff', 'nebenwirkungen', 'PfizerBiontech']",2,1,4,-0.296,0,0.524,0.476,1.75,"AVG","NEG",58
"5896",5896,"Jordan Higby","False","2021-02-21","Got my first dose of the Pfizer vaccine today🙌🏼🙌🏼 ","['CovidVaccine', 'COVID19Vaccination', 'Pfizer', 'COVID19Vaccine']",2,0,1,0,0,0,1,0.25,"LOW","NEU",71
"5080",5080,"Shabnum Mustapha","False","2021-02-03","My mum has just come back from the where she got her first dose of the Covid vacci… ","['PfizerBiontech']",1,2,55,0,0,0,1,15.25,"HIGH","NEU",53
"5667",5667,"Glez","False","2021-02-17","Exactly two weeks ago. A little glimpse of going back to normal appeared (: ","['PfizerBioNTech', 'PfizerVaccine']",2,0,0,0.4939,0.198,0,0.802,0,"LOW","POS",67
"2517",2517,"💙HelloMyNameIsSue💙 #NHSLove","False","2021-01-06","Having spent the majority of my working year working on the I had dose 1 of the Pfizer vaccine yest… ","['OxfordVaccine']",1,0,0,0,0,0,1,0,"LOW","NEU",25
"5012",5012,"Claude","False","2021-02-01","Anaphylaxis &amp; other side effects via ","['COVID19', 'vaccine', 'PfizerBiontech', 'CovidVaccine', 'Singapore']",3,0,1,0,0,0,1,0.25,"LOW","NEU",51
"3251",3251,"Sivanathan 🇲🇾","False","2021-01-13","Can someone point me to where I can find the latest data on vaccination? The info is scarce and I'm… ","['PfizerBioNTech']",1,0,0,0,0,0,1,0,"LOW","NEU",32
"5369",5369,"🌱Cats & Shielding 🌱","False","2021-02-08"," Because they’re rich, and they’ve had both doses of vaccine in a timely manner.… ","",1,0,1,0.5574,0.217,0,0.783,0.25,"LOW","POS",58
"5993",5993,"GreG Usrey, RN","False","2021-02-22","Second dose done. @ New Lister Building ","['pfizerbiontech']",1,0,9,0,0,0,1,2.25,"AVG","NEU",72
"6895",6895,"Rebecca VanderMeulen","False","2021-03-14","One shot down! ","['CovidVaccine', 'PfizerBioNTech']",2,0,2,0,0,0,1,0.5,"LOW","NEU",92
"2692",2692,"The Daily Star","True","2021-01-08"," appeared to work against a key mutation in the highly transmissible new variant… ","['PfizerBioNTech', 'Covid19', 'vaccine']",2,2,7,0,0,0,1,3.25,"AVG","NEU",27
"1745",1745,"Tyler","False","2020-12-29","Ok, round one of the 'very good anti-covid19 science juice is in! 19th for the second. Thanks !","['PfizerBioNTech']",1,0,8,0.7702,0.294,0,0.706,2,"AVG","POS",17
"1708",1708,"Carlos Ribeiro","False","2020-12-28","For the non molecular biologist geeks here is a very good detailed analysis of what the mRNA in the f… ","['CovidVaccine']",1,25,58,0.4201,0.141,0.062,0.797,33.25,"HIGH","POS",16
"6422",6422,"Attenborough Surgery","False","2021-03-03","Nice to meet you again our dear friend 🙌 We have started our 2nd dose vaccination campaign for th… ","['PfizerBioNTech']",1,4,47,0.8225,0.336,0,0.664,14.75,"HIGH","POS",81
"6642",6642,"The Weather Channel India","True","2021-03-09"," developed by and significantly appear less effective against the coronavi… ","['COVID19Vaccines', 'Moderna', 'PfizerBioNTech']",2,0,3,0.4228,0.238,0,0.762,0.75,"LOW","POS",87
"3691",3691,"Marc B.","False","2021-01-15","More than 20 people with the died in - ","['vaccinated', 'PfizerBioNTech', 'vaccine', 'NORWAY']",2,12,8,-0.5574,0,0.31,0.69,11,"HIGH","NEG",34
"628",628,"Alex777","False","2020-12-24"," propaganda for &amp; Why is is altruism &amp; f… ","['bullshit', 'Pfizer', 'PfizerBioNTech', 'Vaccin', 'vaccination', 'vaccination']",3,1,1,-0.25,0,0.2,0.8,1,"LOW","NEG",12
"2373",2373,"AR","False","2021-01-05","Suggested Vaccination drive for UK . Go slow and steady for elderly and hight risk valnurable people including BAME… ","",1,0,0,-0.2732,0,0.104,0.896,0,"LOW","NEG",24
"5722",5722,"Pedd Raam Art","False","2021-02-18"," bans attack bans attack I ba… ","['Hindu', 'India', 'PfizerBioNTech', 'CBRN', 'Satanic', 'Switzerland', 'CBRN']",3,0,1,-0.7351,0,0.608,0.392,0.25,"LOW","NEG",68
"1617",1617,"TotalTourist ✖️ CASHBOT","False","2020-12-27","BMW M4 GT4 | BioNTech No.63 UNDER CONSTRUCTION... to save your little behinds. ","['GTSport']",1,1,17,0.4939,0.211,0,0.789,5,"AVG","POS",15
"3816",3816,"moneycontrol","True","2021-01-16","23 elderly persons passed away shortly after receiving their first shots of the Pfizer-BioNTech mRNA COVID-19 vacci… ","",1,22,44,0,0,0,1,27.5,"HIGH","NEU",35
"805",805,"Rémi Vautrin","False","2020-12-19"," Does your vaccine provide herd immunity? ","['Covid_19', 'PfizerBioNTech']",2,0,0,0,0,0,1,0,"LOW","NEU",7
"5955",5955,"Tavneet Suri","False","2021-02-21","Finally a positive epsilon: and a big one at that!! Much needed. I was getting thoroughly sick and tired of the n… ","",1,2,4,-0.5776,0.12,0.245,0.635,2.5,"AVG","NEG",71
"1200",1200,"WAM English","True","2020-12-24","UAE Press: vaccine rollout timely and important ","['PfizerBioNTech', 'WamNews']",2,0,2,0.2023,0.231,0,0.769,0.5,"LOW","POS",12
"3553",3553,"Jacqueline Pullos, COMT, OSC, CTC","False","2021-01-14","Second Covid vaccine, 14 hours ago (Pfizer) - side effects: so far, no different from first vaccine. Just a sore… ","",1,0,1,-0.3566,0,0.115,0.885,0.25,"LOW","NEG",33
"5731",5731,"🕷Financial Bear 3.5%","False","2021-02-17","Hearing and will delay the 2nd vaccine beyond 12 weeks. Is that because… ","['PfizerBioNTech']",1,0,0,-0.3182,0,0.161,0.839,0,"LOW","NEG",67
"6955",6955,"Eye Roll Hard","False","2021-03-17","Got my first round of the today. I live in if you live there they are va… ","['CovidVaccine', 'PfizerBioNTech', 'NorthIdaho']",2,0,0,0,0,0,1,0,"LOW","NEU",95
"450",450,"Ujjwal Rastogi","False","2020-12-15","I scheduled my today🤞💪, when is yours ? ","['COVID19', 'vaccine', 'cardiotwitter', 'PfizerBioNTech', 'Pfizervaccine']",3,1,6,0,0,0,1,2.25,"AVG","NEU",3
"94",94,"Francesco Moscone","False","2020-12-14","Can’t wait to take my kids towards herd immunity 🐑 🐑 🥳🥳 ","['vaccines', 'PfizerBioNTech']",2,0,0,0.6369,0.286,0,0.714,0,"LOW","POS",2
"1056",1056,"Andrew Mseri CEO","False","2020-12-20","Already vaccinated or getting vaccine soon? Plan your abroad with best DMC with reviews… ","['travel', 'tripadvisor']",2,0,2,0.6369,0.244,0,0.756,0.5,"LOW","POS",8
"1933",1933,"Anke Helbig","False","2020-12-31","Best understanding description how the vaccine of was developed (including the understandi… ","['PfizerBioNTech', 'vaccine']",2,0,0,0.6369,0.276,0,0.724,0,"LOW","POS",19
"7231",7231,"Riikka Kevo | Vihreät, Turku","False","2021-03-24"," suspends vaccinations from batches 210102 and 210104 over defective packa… ","['Coronavirus', 'HongKong', 'PfizerBioNTech']",2,1,1,-0.4404,0,0.244,0.756,1,"LOW","NEG",102
"2112",2112,"Aleena Banerji, MD","False","2021-01-01","2/ Neither the nor mRNA vaccines are formulated with any food, drugs, or latex, b… ","['PfizerBioNTech', 'Moderna', 'COVID19']",2,0,3,0,0,0,1,0.75,"LOW","NEU",20
"7293",7293,"KillingEve","False","2021-03-25"," death toll for UK stands at 259 (total adverse reactions reported are 108,649) ","['PfizerBioNTech']",1,0,1,-0.7713,0,0.378,0.622,0.25,"LOW","NEG",103
"869",869,"ILKHA","True","2020-12-18","Russia’s coronavirus death toll rises to 49,762 ","['Russia', 'coronavirus', 'PfizerBioNTech', 'COVID19']",2,2,2,-0.5994,0,0.394,0.606,2,"AVG","NEG",6
"5620",5620,"🌱Cats & Shielding 🌱","False","2021-02-15","To vaccinate people at the proper intervals? ","['Panorama', 'PfizerBiontech', '2ndJab', '2Jabs']",2,0,1,0,0,0,1,0.25,"LOW","NEU",65
"2787",2787,"105.5 The Dove","False","2021-01-09","New info everyday on the COVID-19 vaccines, where to get them, how effective are they in Coronavirus - What You Nee… ","",1,0,1,0.4767,0.134,0,0.866,0.25,"LOW","POS",28
"2142",2142,"Canadian Advocacy Centre 4 Health Safety & Justice","False","2021-01-02","5-MHRA guidelines to GP's: 1. Any person with a history of a significant allergic reaction to a vaccine, medicine o… ","",1,0,1,-0.1027,0.082,0.1,0.818,0.25,"LOW","NEG",21
"2763",2763,"Farzad Borumandi","False","2021-01-07","A good illustration on how the vaccine works to protect against ""mRNA Inside an Oily… ","['PfizerBioNTech', 'coronavirus']",2,0,0,0.6705,0.297,0,0.703,0,"LOW","POS",26
"4770",4770,"TheRag","False","2021-01-27"," Fanclub Continues To Grow “Thank you, President Biden,” said Pesicka. ","['Biden', 'Covid19', 'PPE']",2,1,0,0,0,0,1,0.75,"LOW","NEU",46
"1079",1079,"ex Frate Gervaso 🇮🇹","False","2020-12-29","Dear mr Trump, stock market is important but mRNA vaccine is experimental... Some state wanna put it mandatory.… ","",1,0,1,0.296,0.167,0,0.833,0.25,"LOW","POS",17
"1402",1402,"Sarah Fereday MSc","False","2020-12-22","Today I had 1st dose of Covid19 vaccine. Thank you to Martin &amp; Danny for making me feel at ease des… ","['PfizerBioNTech']",1,0,10,0.6124,0.208,0,0.792,2.5,"AVG","POS",10
"2554",2554,"Flat Eric","False","2021-01-07","It's V-day today! Flat Eric gets his vaccine today. ","['COVID19', 'vaccinations', 'coronavirus', 'PfizerBioNTech']",2,5,21,0,0,0,1,9,"AVG","NEU",26
"923",923,"The Epoch Times","True","2020-12-20","The is investigating around 5 allergic reactions that happened after people were administered… ","",1,176,288,-0.296,0,0.155,0.845,204,"HIGH","NEG",8
"2211",2211,"Tamer Yazar","False","2021-01-03","my favorite - ","['StreetArt', 'graffitiart', 'GraffArt', 'streetphotography', 'photography', 'PfizerBioNTech']",3,1,0,0.4588,0.6,0,0.4,0.75,"LOW","POS",22
"7205",7205,"tomchung 😷🧼🤲🏽","False","2021-03-24","Looking forward to the 2nd dose of the vaccine. Hope the disruption of the vaccination pr… ","['PfizerBioNTech', 'HongKong']",2,0,1,0.1027,0.149,0.129,0.722,0.25,"LOW","POS",102
"4052",4052,"Robin Sen","False","2021-01-19"," New evidence confirming the importance of 2nd dose for those receiving the… ","",1,5,4,0.3612,0.185,0,0.815,4.75,"AVG","POS",38
"5308",5308,"Khatoun Haidar","False","2021-02-07","In other countries, there is not enough doses! Shame. Addenbrooke’s hospital in Cambridge told staff last week that… ","",1,0,0,0.4303,0.143,0,0.857,0,"LOW","POS",57
"614",614,"Sir Simon of Lewis","False","2020-12-16","Had my jab today. Time for us all to get on board. ","['PfizerBioNTech', 'covid19']",2,0,5,0,0,0,1,1.25,"AVG","NEU",4
"3671",3671,"Nazifa Rahman","False","2021-01-15","Finally William Shakespeare got vaccine 😀 ","['vaccine', 'Pfizer', 'AstraZeneca', 'PfizerBioNTech', 'CovidVaccine', 'vaccination']",3,1,1,0.3612,0.294,0,0.706,1,"LOW","POS",34
"4235",4235,"Jyoti Nagill","False","2021-01-21"," Protect the NHS. You can only go out for a permitted reason. The police can fine you if you br… ","['StayAtHomeSaveLives']",1,0,2,0.5267,0.196,0,0.804,0.5,"LOW","POS",40
"4326",4326,"Siddhi Trivedi (she/her)","False","2021-01-21","A sense of relief and optimism : just got my first dose ","['CovidVaccine', 'Covid19UK', 'immunisetostayhealthy']",2,1,16,0.765,0.398,0,0.602,4.75,"AVG","POS",40
"4167",4167,"Jackson Health System","False","2021-01-20","We are proud to announce that from January 5th through the 19th Jackson administered 45,684 total doses of the… ","",1,11,111,0.4767,0.147,0,0.853,36,"HIGH","POS",39
"4906",4906,"Michael Cunliffe","False","2021-01-30","First dose this morning. One more level of protection for my work with people experiencing mental health issues at… ","",1,0,1,0,0,0,1,0.25,"LOW","NEU",49
"1932",1932,"🅲🅷🆁🅸🆂","False","2020-12-31","The worst thing about this whole situation is that its our chief medical staff chris… ","['PfizerVaccine', 'PfizerBioNTech']",2,0,0,-0.6249,0,0.227,0.773,0,"LOW","NEG",19
"7497",7497,"Mashable Southeast Asia","True","2021-04-01","And they've recently begun trials for vaccine efficacy in children from six months to 11 years. ","['MashableSEA']",1,0,0,0,0,0,1,0,"LOW","NEU",110
"5135",5135,"- 🗯","False","2021-02-04"," expects $15bn of sales of they developed with whose side effects have caused the… ","['Pfizer', 'Covid19vaccine', 'BioNTech']",2,0,0,0,0,0,1,0,"LOW","NEU",54
"2503",2503,"Economics Observatory","False","2021-01-06"," vaccine was reported as being 95% effective (not your chance of staying Covid-free after vaccinatio… ","['PfizerBioNTech']",1,2,1,0.3313,0.174,0.098,0.729,1.75,"AVG","POS",25
"3038",3038,"Nataniel Lester-Coll, MD","True","2021-01-09"," Same here with my 2nd dose Sore arm was my only side effect and it lasted about a day","['PfizerBioNTech']",1,0,1,-0.3612,0,0.122,0.878,0.25,"LOW","NEG",28
"4177",4177,"Jordan","False","2021-01-20","Thank you to the and for my first dose of the jab today. No side effects, not even a dead a… ","['Pfizer']",1,1,22,0.5778,0.227,0.084,0.689,6.25,"AVG","POS",39
"175",175,"Professor Kwaku Akyeampong, CEO-C, COO-C 🇬🇭🇺🇸","False","2020-12-14","Pfizer-BioNTech’s COVID19 vaccine is also urgently needed for Africa: &amp; rest… ","['Ghana', 'Nigeria', 'Egypt', 'SouthAfrica']",2,0,1,0,0,0,1,0.25,"LOW","NEU",2
"675",675,"Chris G.","False","2020-12-17","So apparently if you come by damaging side effects of the you CANNOT pursue legal ac… ","['PfizerBioNTech', 'Pfizervaccine']",2,0,0,-0.5676,0,0.25,0.75,0,"LOW","NEG",5
"6898",6898,"DefNotJoe","False","2021-03-22","Just got my first covid-19 jab! ","['PfizerBioNTech']",1,2,2,0,0,0,1,2,"AVG","NEU",100
"5162",5162,"ArtistJamesBergman","False","2021-02-05","Got my second shot yesterday! 🎶Thanks to and ","['scientists', 'vaccinated', 'COVID', 'lookslikewemadeit']",2,2,1,0,0,0,1,1.75,"AVG","NEU",55
"4920",4920,"Zhang-he Goh","False","2021-01-30","Which is better, the or the ? ""The one that is available to you,"" Prof. Allen says.","['PfizerBioNTech', 'Moderna', 'vaccine']",2,0,0,0.4404,0.153,0,0.847,0,"LOW","POS",49
"4814",4814,"SteveM","False","2021-01-29","It’s fair to criticise over the management of but we should acknowledge how ahead of the game they’… ","['UKGov', 'COVID19']",2,3,4,-0.0772,0.084,0.099,0.816,3.25,"AVG","NEG",48
"3002",3002,"Meg Wallace, LISW-CP","False","2021-01-10","Both my mom and I got dose 2 of the vaccine today. Feeling incredibly thankful and humbled. ","['COVIDvaccinated']",1,1,7,0.6697,0.268,0,0.732,2.5,"AVG","POS",29
"336",336,"Jackson Health System","False","2020-12-15","More from Jackson North Medical Center getting their vaccine today. ","['HealthcareHeroes', 'COVID19', 'PfizerBioNTech']",2,6,49,0,0,0,1,16.75,"HIGH","NEU",3
"288",288,"Fares Bou-Daher","False","2020-12-12","Say NO to Covid-19 vaccines! ","['vaccine', 'vaccination', 'Pfizervaccine', 'Covid_19', 'PfizerBioNTech', 'CovidVaccines']",3,0,0,-0.4981,0,0.446,0.554,0,"LOW","NEG",0
"307",307,"Massimo Guerrera","False","2020-12-22","Tiffany Dover is alive! 👀😃 ","['TiffanyDover', 'Pfizer', 'PfizerBioNTech', 'Pfizervaccine', 'VaccinoAntiCovid']",3,1,1,0.6588,0.403,0,0.597,1,"LOW","POS",10
"7078",7078,"Mo Stonks 🤌🏼","False","2021-03-19","Wish me luck! 💉 😷 ","['vaccine', 'PfizerBiontech']",2,0,16,0.7177,0.5,0,0.5,4,"AVG","POS",97
"2855",2855,"Anth Day","False","2021-01-09","Just watched a relative getting her second dose of the Again, quite emotional knowing the… ","['PfizerBioNTech', 'vaccine']",2,0,18,0.2247,0.119,0,0.881,4.5,"AVG","POS",28
"1330",1330,"AlShorts","False","2020-12-23","Supreme Committee of Crisis and Disaster Management will start COVID-19 campaign in… ","['PfizerBioNTech', 'vaccination']",2,0,2,-0.6808,0.173,0.394,0.433,0.5,"LOW","NEG",11
"5753",5753,"New Straits Times","True","2021-02-19"," An A330-300, of national carrier Malaysia Airlines, will fly in 312,390 doses of the… ","['NSTnation', 'Airbus']",2,5,9,0,0,0,1,6,"AVG","NEU",69
