"","user_name","user_verified","date","text","hashtags","hashtags_count","retweets","favorites","compound_score","positive_score","negative_score","neutral_score","popularity_score","popularity_score_ctg","overall_sentiment","tweet_age"
"2020","Liza Saguto","False",2021-01-02,"Today I had soreness at the injection site, a low grade fever, body aches, and a bit of nausea. This is the body bu… ","","1",0,0,-0.4767,0,0.157,0.843,0,"LOW","NEG",21
"2021","Liza Saguto","False",2021-01-02,"On the last day of 2020 I administered at a clinic at a skilled nursing facility and got my first dos… ","['CovidVaccine']","1",0,2,0,0,0,1,0.5,"LOW","NEU",21
"2022","🕷Financial Bear 3.5%","False",2021-01-02," should stop shipping the vaccine to ANY country breaking with their proto… ","","1",3,13,-0.296,0,0.167,0.833,5.5,"AVG","NEG",21
"2023","Michael Simire","False",2021-01-02," clears for emergency use via ","['coronavirus', 'vaccine']","2",1,1,-0.3182,0.188,0.377,0.435,1,"LOW","NEG",21
"2024","प्रोफेसर डा अमरेश चंद्र पाण्डेय","False",2021-01-02," vaccine from approved by for dry run ","['PfizerBioNTech', 'WHO', 'CoviShield', 'SerumInstituteIndia', 'GovtOfIndia', 'MockDrill']","3",0,0,0.4215,0.318,0,0.682,0,"LOW","POS",21
"2025","प्रोफेसर डा अमरेश चंद्र पाण्डेय","False",2021-01-02," approves for treatment. ","['WorldHealthOrganization', 'PfizerBioNTech', 'CoronaVirus']","2",1,1,0.4019,0.574,0,0.426,1,"LOW","POS",21
"2026","Nicolás","False",2021-01-02,"The Planning Disaster: Germany and Europe Could Fall Short on Vaccine Supplies ","['EU', 'Europe', 'Europe', 'Europa']","2",0,0,-0.6249,0,0.272,0.728,0,"LOW","NEG",21
"2027","Stephanie Kaszuba","False",2021-01-02,"What a great way to kick off 2021! ","['PfizerBioNTech', 'HappyNewYear']","2",0,9,0.6588,0.386,0,0.614,2.25,"AVG","POS",21
"2028","Priyanka Mathikshara Mathialagan","False",2021-01-02,"If can be stored at a higher and more convenient temperature, just curious as in why it’s not in demand… ","['Covishield']","1",0,2,0.3182,0.108,0,0.892,0.5,"LOW","POS",21
"2029","木根渕猛[モトケン]","False",2021-01-02," ""Image of the exponential infection spread"" ","['KatalinKarikó', 'mRNAvaccine', 'PfizerBioNTech', 'Moderna']","2",0,0,0,0,0,1,0,"LOW","NEU",21
"2030","Oneindia News","True",2021-01-02,"The on Thursday granted emergency validation to the Pfizer-BioNTech vaccine, paving the way for countries worl… ","","1",0,1,-0.1531,0.108,0.14,0.753,0.25,"LOW","NEG",21
"2031","DNA","True",2021-01-02," and to offer COVID-19 vaccine to volunteers who got placebo by March this year ","['Pfizer', 'BioNTech', 'PfizerBioNTech']","2",0,7,0,0,0,1,1.75,"AVG","NEU",21
"2032","petrvs","False",2021-01-02," folks! green light from on usage of vacci… ","['PfizerBioNTech']","1",1,0,0,0,0,1,0.75,"LOW","NEU",21
"2033","petrvs","False",2021-01-02," what are they waiting for bro? has already approved the usage of and… ","['PfizerBioNTech']","1",1,2,0.4215,0.189,0,0.811,1.25,"AVG","POS",21
"2034","Michele one L","False",2021-01-02," Basically a lot of very old people have been put on a vaccine trial - that is contrary to ow… ","['Pfizer']","1",0,8,0,0,0,1,2,"AVG","NEU",21
"2035","Arashdeep Singh, Ph.D.🐁🧠🥙","False",2021-01-02," 🎊🎆 WHAT better start could I ask for ❤️ 😇 🙏🏻 💉… ","['NewYear2021', 'blessed', 'grateful', 'vaccinated']","2",0,18,0.7096,0.228,0,0.772,4.5,"AVG","POS",21
"2036","Jacqueline Roche","False",2021-01-02," ","['COVID19', 'COVID19USA', 'COVID19Vaccine', 'vaccination', 'VaccinoAntiCovid', 'Vaccinatie', 'PfizerBioNTech']","3",0,0,0,0,0,0,0,"LOW","NEU",21
"2037","Free Malaysia Today","False",2021-01-02,"The US Food and Drug Administration says this could make it harder to continue collecting data on effectiveness.… ","","1",0,0,0,0,0,1,0,"LOW","NEU",21
"2038","Sue Reeve ♥️🧡💛💚💙💜🇪🇺🇪🇺🏳️‍🌈🏳️‍🌈","False",2021-01-01,"My friend who has come out of retirement to administer , reports that a senior manager spent much of… ","['CovidVaccine']","1",1,1,0.4939,0.151,0,0.849,1,"LOW","POS",20
"2039","AislingL","False",2021-01-01,"What happened to ""following the science""?? 😡 (Also, seriously? A u-turn on day one of 2021?) ","['PfizerVaccine']","1",0,1,-0.3939,0,0.143,0.857,0.25,"LOW","NEG",20
"2040","Fat Cat","False",2021-01-01,"It’s on the notice in Belgium. Risk is under 1/1000. is not a mRNA vaccine and using a… ","['PfizerBioNTech', 'AstraZeneca']","2",0,0,-0.2732,0,0.11,0.89,0,"LOW","NEG",20
"2041","Kudakwashe Kanhutu  🇿🇼","False",2021-01-01,"I wish everyone in the world would take this scientific approach to any information they come across! Alas, people… ","","1",4,15,0.2244,0.135,0.095,0.77,6.75,"AVG","POS",20
"2042","Partha Mishra","False",2021-01-01,"What has the Covid vaccination status taught us thus far: “Execution” eats “Science and Discovery” for lunch when i… ","","1",0,1,0,0,0,1,0.25,"LOW","NEU",20
"2043","Gytha Ogg 🕯3.5% 🐟 #dogooder 🤗 #notmypm🎪🕷","False",2021-01-01," I now declare I'… ","","1",0,2,0,0,0,1,0.5,"LOW","NEU",20
"2044","recalcitrant_trader/investor","False",2021-01-01,"$FDX $UPS added recently to hold as the principal vaccine delivery options. Probability of benefiting from related… ","","1",0,1,0,0,0,1,0.25,"LOW","NEU",20
"2045","daivid barnsdale","False",2021-01-01,"The was trialed with a second dose at between 19 and 42 days. It is crazy to switch to a m… ","['PfizerBioNTech', 'vaccine']","2",0,0,-0.34,0,0.107,0.893,0,"LOW","NEG",20
"2046","Meg Alcock","False",2021-01-01,"Truly grateful to receive the vaccine today but also to be a (small 😷🍫) part of the team that kicke… ","['PfizerBioNTech']","1",0,1,0.4497,0.147,0,0.853,0.25,"LOW","POS",20
"2047","chris #FBPE #3.5% #Remainerswereright","False",2021-01-01," You need to answer serious questions about your continuing over ","['ToryIncompetence', 'Covid19UK']","2",0,0,-0.0772,0,0.126,0.874,0,"LOW","NEG",20
"2048","Jonathan Marron MD MPH","False",2021-01-01,"Now 48 hrs out from dose 1. Arm soreness is totally gone now. Woke up with a little runny nose this am, but hard to… ","","1",0,3,-0.1531,0,0.062,0.938,0.75,"LOW","NEG",20
"2049","Sunil Kumar ♞ ♂︎ 💙 ✊🏿 #BLM","False",2021-01-01," I have not heard from Johnson an… ","","1",0,0,0,0,0,1,0,"LOW","NEU",20
"2050","Carla","False",2021-01-01,"😲 First dose done !! Second dose March 20th ☺️👍 ","['covid_19', 'pfizerbiontech', 'vaccination']","2",0,0,0.7339,0.34,0,0.66,0,"LOW","POS",20
"2051","Giuseppe Ciccone","False",2021-01-01,"My mum and dad, who are both doctors, got the first dose of the vaccine today in A… ","['COVID19', 'PfizerBioNTech', 'Italy']","2",1,21,0,0,0,1,6,"AVG","NEU",20
"2052","Kate Hydon/Smith","False",2021-01-01,"This offers some reassurance for those also upset &amp; angry about NYE gvt postponement 2nd dose beyon… ","['PfizerBioNTech']","1",1,3,-0.5267,0.112,0.263,0.625,1.5,"AVG","NEG",20
"2053","IANS Tweets","True",2021-01-01,"A team of experts led by allergists at Massachusetts General Hospital (MGH) in the has assured that people with… ","['US']","1",0,1,0.3612,0.122,0,0.878,0.25,"LOW","POS",20
"2054","Shafi Beldar","False",2021-01-01,"Let me also remind you that these were the countries that hosted much of the vaccine trials. Pharmaceutical big sho… ","","1",0,0,0,0,0,1,0,"LOW","NEU",20
"2055","Ju #AntiTory⚘ #AntiTrump","False",2021-01-01," Yep I said that when the was approved","['PfizerBioNTech']","1",1,4,0.6124,0.455,0,0.545,1.75,"AVG","POS",20
"2056","Zoe Fitzsimmons","False",2021-01-01,"Happy New Year! I've had a lovely day vaccinating more staff and Care home staff. ","['covid19', 'covidvaccine', 'PfizerBioNTech']","2",0,27,0.9053,0.484,0,0.516,6.75,"AVG","POS",20
"2057","John_b3334","False",2021-01-01,"I wonder what think about our govt deciding to give 2nd jab after 12wks and not the 3 tha… ","['PfizerBioNTech', 'Toryscum']","2",0,0,0,0,0,1,0,"LOW","NEU",20
"2058","Post-Polio News (ppn)","False",2021-01-01," Covid vaccine: chief medical officers defend rescheduling of second doses | ","['UK']","1",0,0,0,0,0,1,0,"LOW","NEU",20
"2059","Salmakaveli","False",2021-01-01,"""AN ELDERLY PERSON DIED A DAY AFTER THE VACCINATION."" This happened in a nursing home in Kalmar County, Sweden. Acc… ","","1",3,1,-0.6523,0,0.186,0.814,2.5,"AVG","NEG",20
"2060","industrialpc","False",2021-01-01," Well, he always has some lies to tell ... btw, the Pfizer vaccine was developed by the German Comp… ","","1",0,0,-0.1779,0.096,0.128,0.776,0,"LOW","NEG",20
"2061","Neil Orton","False",2021-01-01,"Just had the 1st dose. We are so lucky to have this opportunity. Thanks to the vaccination teams for such a painles… ","","1",0,4,0.8679,0.34,0,0.66,1,"LOW","POS",20
"2062","Tapas Panda","False",2021-01-01," I shall better wait for and vaccine availability in India before rushing for a shot.… ","['PfizerBioNTech', 'Moderna']","2",0,1,0.4404,0.172,0,0.828,0.25,"LOW","POS",20
"2063","Simon Hodes ⬅️2m➡️ 😷","False",2021-01-01,"On delayed booster A useful thread c/o ","['PfizerBioNTech']","1",0,3,0.25,0.296,0.194,0.51,0.75,"LOW","POS",20
"2064","Polish Press Agency","False",2021-01-01," will use up the first batch of 300,000 by Monday, but a second ident… ","['Poland', 'PfizerBioNTech', 'coronavirus', 'vaccines']","2",2,2,0,0,0,1,2,"AVG","NEU",20
"2065","S D","False",2021-01-01,"Next Thanks, . ♥️ . . . . . . ","['Nobel']","1",0,0,0.7964,0.441,0,0.559,0,"LOW","POS",20
"2066","Mark Woody","False",2021-01-01," Delaying the second dose may be reasonable for the vaccine, where there is so… ","['Oxford']","1",0,1,0,0,0,1,0.25,"LOW","NEU",20
"2067","Bruce LI","False",2021-01-01," USA : Wrong ! Americans received just over 3 MILLION in… ","","1",0,0,-0.5255,0,0.253,0.747,0,"LOW","NEG",20
"2068","Mark Woody","False",2021-01-01," vaccine second dose must be given 21 days after the first. No research evidence for delaying it to… ","['PfizerBioNTech']","1",0,0,-0.296,0,0.115,0.885,0,"LOW","NEG",20
"2069","Ursula Gerstner","False",2021-01-01," Had mine too on December 28th. Feeling great. ","['PfizerBioNTech', 'PfizerVaccine']","2",0,0,0.6808,0.483,0,0.517,0,"LOW","POS",20
"2070","Ian 3.5% #FBPE","False",2021-01-01," I prefer to trust seeing as they developed it and based all their trials… ","['PfizerBioNTech']","1",3,13,0.5106,0.202,0,0.798,5.5,"AVG","POS",20
"2071","A Slight Return","False",2021-01-01," cost comparison for those debating cause of UK UK Govt paid £24… ","['CovidVaccine', 'CovidVaccineDelays', 'PfizerBioNTech']","2",3,4,0,0,0,1,3.25,"AVG","NEU",20
"2072","Marc Siegel MD","False",2021-01-01,"Pfizer: ""No data"" to show single dose of vaccine offers protection after 21 days - ","['COVID19', 'VaccinesWork']","2",14,35,0,0,0,1,19.25,"HIGH","NEU",20
"2073","Tapas Panda","False",2021-01-01,"How safe it is to trust on effectivity of made in India COVID-19 vaccines? The manner they are hurrying through the… ","","1",0,0,0.7351,0.246,0,0.754,0,"LOW","POS",20
"2074","Acidtate","False",2021-01-01,"The can’t even vaccinate properly or ethically. What can they get right? This is all kinds of wrong!… ","['ukgovernment']","1",0,0,0,0,0,1,0,"LOW","NEU",20
"2075","🕷Financial Bear 3.5%","False",2021-01-01," Like minded!! You going to be lonely. Delaying vaccine is a monumental mistake that wi… ","['PfizerBioNTech']","1",0,0,-0.4559,0.125,0.274,0.6,0,"LOW","NEG",20
"2076","Dr. Akbar Niazi Teaching Hospital","False",2021-01-01," needs to be stored at -60°C to -90°C, thus making it more challenging to be deployed… ","['PfizerBioNTech', 'COVIDVaccine']","2",2,4,0.2247,0.112,0,0.888,2.5,"AVG","POS",20
"2077","🕷Financial Bear 3.5%","False",2021-01-01,"Virologist from Imperial College London tells me this 12wk delay for 2nd vaccine shot is suicide. It is TOTALLY uns… ","","1",2,2,-0.7783,0,0.274,0.726,2,"AVG","NEG",20
"2078","Dr. Akbar Niazi Teaching Hospital","False",2021-01-01," Emergency Use Listing (EUL) has allowed the countries to pace-up their own regulatory approval processes to im… ","['WHO']","1",1,2,0.128,0.15,0.126,0.725,1.25,"AVG","POS",20
"2079","Dr. Akbar Niazi Teaching Hospital","False",2021-01-01,"Regulatory experts from all over the world reviewed the data on the vaccine’s safety, efficacy &amp; qu… ","['PfizerBioNTech']","1",1,1,0.4215,0.149,0,0.851,1,"LOW","POS",20
"2080","AEON COLLECTIVE","False",2021-01-01," has deployed the vaccine recently and made it available for free to all citizens and r… ","['SaudiArabia', 'PfizerBioNTech']","2",2,2,0.5106,0.18,0,0.82,2,"AVG","POS",20
"2081","Truescoopnews","False",2021-01-01,"Both these vaccines were recently given nod for emergency use by the US Food and Drug Administration (FDA).… ","","1",0,0,-0.3818,0,0.133,0.867,0,"LOW","NEG",20
"2082","IANS Tweets","True",2021-01-01,"More than half a million doses of the have arrived in The authorities are li… ","['PfizerBioNTech', 'vaccine', 'SaudiArabia']","2",2,5,0,0,0,1,2.75,"AVG","NEU",20
"2083","Laura Heald","False",2021-01-01,"Hopefully protected from this horrible virus and protecting those around me 💉 we can do this!!… ","","1",0,2,0.3987,0.273,0.154,0.573,0.5,"LOW","POS",20
"2084","Rachna Tandon","False",2021-01-01," first off the block to get nod for emergency use. Enables &amp; other health org… ","['PfizerBioNTech', 'vaccine', 'WHO']","2",0,0,-0.6705,0,0.297,0.703,0,"LOW","NEG",20
"2085","Corrupt Crony system","False",2021-01-01," But if WHO, US, EU and so many countries have given EUA and millions have been inoculated with… ","","1",0,0,0,0,0,1,0,"LOW","NEU",20
"2086","Concrete Island Gav","False",2021-01-01,"When will you be eligible for the Covid vaccine? ","['COVID19', 'coronavirus', 'vaccine', 'UK', 'NHS']","3",0,1,0,0,0,1,0.25,"LOW","NEU",20
"2087","DrAlaMahamid","False",2021-01-01,"Alomst 1M out of 9 Ms people had been vaccinated in 10 days in What about your country?!","['Israel', 'COVAX', 'COVID19', 'PfizerBioNTech']","2",0,0,0,0,0,1,0,"LOW","NEU",20
"2088","Gulistan News","False",2021-01-01,"WHO Clears Pfizer-BioNTech Vaccine For Emergency Use ","['WorldHealthOrganisation', 'WHO', 'PfizerBioNTech']","2",0,0,-0.3182,0.146,0.292,0.562,0,"LOW","NEG",20
"2089","Corrupt Crony system","False",2021-01-01,"Now even has given EUA to Covid vaccine. What is India waiting for?? Millions injected 1st dos… ","['PfizerBioNTech']","1",0,1,0,0,0,1,0.25,"LOW","NEU",20
"2090","Corrupt Crony system","False",2021-01-01,"Now even has given EUA to Covid vaccine. What is India waiting for??? ","['PfizerBioNTech']","1",0,4,0,0,0,1,1,"LOW","NEU",20
"2091","The English Post","False",2021-01-01,"WHO approves Pfizer Covid-19 vaccine for emergency use ","['COVID19', 'CovidVaccine', 'WHO', 'PfizerCovidVaccine']","2",0,0,0.0258,0.239,0.23,0.531,0,"LOW","NEU",20
"2092","NewsAlert 24x7","False",2021-01-01," vaccine, first to receive emergency validation from since the (novel coronavirus) outbreak beg… ","['PfizerBioNTech', 'WHO']","2",0,0,-0.0772,0.145,0.164,0.692,0,"LOW","NEG",20
"2093","Concrete Island Gav","False",2021-01-01,"WHO lists Pfizer-BioNTech COVID vaccine for emergency use via ","['COVID19']","1",0,2,-0.3818,0,0.245,0.755,0.5,"LOW","NEG",20
"2094","Kalinga TV","False",2021-01-01," Grants Pfizer-BioNTech For Emergency Use ","['WHO', 'Coronavirusvaccine', 'PfizerBioNTech']","2",1,9,-0.1779,0.253,0.347,0.4,3,"AVG","NEG",20
"2095","Sunday Observer","False",2021-01-01,"Pfizer/BioNTech vaccine becomes the first Covid-19 vaccine to receive emergency use validation from the World Healt… ","","1",0,2,-0.3818,0,0.148,0.852,0.5,"LOW","NEG",20
"2096","The Logical Indian","True",2021-01-01,"The World Health Organisation ( on Thursday, December 31, granted emergency validation to the ","['WHO', 'PfizerBioNTech']","2",0,4,-0.1531,0.12,0.157,0.723,1,"LOW","NEG",20
"2097","KalhanRan","False",2021-01-01,"Welcome Move ! ","['COVID19', 'coronavirus', 'Pfizer', 'PfizerVaccine', 'PfizerBioNTech']","3",0,0,0.5093,0.622,0,0.378,0,"LOW","POS",20
"2098","Daily News","False",2021-01-01,"The World Health Organization has listed Pfizer-BioNTech’s COVID-19 vaccine for emergency use ","['lka', 'SriLanka', 'DN']","2",0,2,-0.3818,0,0.191,0.809,0.5,"LOW","NEG",20
"2099","New Straits Times","True",2021-01-01," said on Thursday that it had vaccinated almost 950,000 people, as a surge in cases… ","['NSTworld', 'Britain', 'coronavirus']","2",3,2,0,0,0,1,2.75,"AVG","NEU",20
"2100","🕷Financial Bear 3.5%","False",2021-01-01,"It’s stupid vaccinating twice as many people if they have to wait 12wks for the 2nd dose and warn t… ","['PfizerBioNTech']","1",0,1,-0.5859,0,0.211,0.789,0.25,"LOW","NEG",20
"2101","Gulf News","True",2021-01-01," grants 'emergency validation' to ","['WHO', 'PfizerBioNTech', 'vaccine']","2",2,12,-0.1779,0.292,0.4,0.308,4.5,"AVG","NEG",20
"2102","IBTimes 🇮🇳","True",2021-01-01,"WHO's gift on New Year, clears Pfizer-BioNTech COVID vaccine for emergency use ▪️The Covid-19 vacc… ","['PfizerBioNTech']","1",0,4,0.1531,0.202,0.125,0.673,1,"LOW","POS",20
"2103","Kamran Kadkhoda","False",2021-01-01,"Here’s a great article: producers can consider removing this motif to reduce… ","['CovidVaccine']","1",1,6,0.6249,0.272,0,0.728,2.25,"AVG","POS",20
"2104","Vinitha Moopen","False",2021-01-01,"Grateful to receive this vaccine. Thankful for all of the scientists, researcher… ","['Pfizer', 'PfizerBioNTech', 'wellspan']","2",2,3,0.7717,0.401,0,0.599,2.25,"AVG","POS",20
"2105","Treta","False",2021-01-01,"WHO Clears Pfizer-BioNTech COVID-19 Vaccine For Emergency Use ","['COVID19', 'COVID19vaccine']","2",1,3,-0.3182,0.131,0.263,0.606,1.5,"AVG","NEG",20
"2106","editorji","True",2021-01-01,"Morning Brief | Pfizer gets WHO approval, India's first 'mysterious' monolith &amp; guess who made it to Gal Gadot's wo… ","","1",1,1,0.4767,0.14,0,0.86,1,"LOW","POS",20
"2107","mytea@om","False",2021-01-01,"We are being experimented on! ","['oxfordastrazeneca', 'vaccine', 'SARSCoV2', 'experimentalvaccine', 'MedicalTyranny']","3",0,0,0,0,0,1,0,"LOW","NEU",20
"2108","Annu Kaushik","False",2021-01-01,"2021 begins on a good note. Pfizer has become the first COVID vaccine to be approved by the WHO. This gives a green… ","","1",0,0,0.6908,0.213,0,0.787,0,"LOW","POS",20
"2109","The Heeraa","False",2021-01-01,"FT People of the Year 2020: Dr. Ugur Sahin and Dr. Ozlem Tureci - the scientists couple behind the ","['Pfizer']","1",1,0,0,0,0,1,0.75,"LOW","NEU",20
"2110","ヤシの Francesco ⌬ 🏴‍☠️","False",2021-01-01," Respectively the two papers, both on the reporting safety a… ","['NEJM']","1",0,1,0.6369,0.394,0,0.606,0.25,"LOW","POS",20
"2111","Pragativadi","False",2021-01-01,"Pfizer-BioNTech vaccine gets ‘emergency validation’ by WHO ","['LatestNews', 'PfizerBioNTech']","2",0,0,0,0,0,1,0,"LOW","NEU",20
"2112","Aleena Banerji, MD","False",2021-01-01,"2/ Neither the nor mRNA vaccines are formulated with any food, drugs, or latex, b… ","['PfizerBioNTech', 'Moderna', 'COVID19']","2",0,3,0,0,0,1,0.75,"LOW","NEU",20
"2113","Digital Journal","False",2021-01-01," grants 'emergency validation' to ","['WHO', 'PfizerBioNTech', 'Vaccine', 'Pandemic']","2",1,0,-0.1779,0.292,0.4,0.308,0.75,"LOW","NEG",20
"2114","ABP News","True",2021-01-01," Grants 'Emergency Validation' For Paving Way For Global Access ","['WHO', 'PfizerBioNTech', 'CovidVaccine']","2",1,28,-0.1779,0.165,0.226,0.609,7.75,"AVG","NEG",20
"2115","S.S.S.Segu","False",2021-01-01,"The lists Pfizer-BioNTech’s COVID-19 vaccine for emergency use. UN said aims to make the vaccine more readily… ","","1",0,0,-0.3818,0,0.14,0.86,0,"LOW","NEG",20
"2116","New Straits Times","True",2021-01-01," The World Health Organisation on Thursday granted emergency validation to the p… ","['NSTworld', 'PfizerBioNTech', 'vaccine']","2",3,2,-0.1531,0.137,0.178,0.685,2.75,"AVG","NEG",20
"2117","Rangana Shamil Fernando","False",2021-01-01,"The lists Pfizer-BioNTech’s COVID-19 vaccine for emergency use. UN said aims to make the vaccine more readily… ","","1",0,1,-0.3818,0,0.14,0.86,0.25,"LOW","NEG",20
"2118","Madige News","False",2021-01-01,"The WHO lists Pfizer-BioNTech’s COVID-19 vaccine for emergency use - a critical step the United Nations health agen… ","","1",0,0,-0.2732,0.123,0.216,0.661,0,"LOW","NEG",20
"2119","NewsRadio - TNLRN","False",2021-01-01,"The WHO lists Pfizer-BioNTech’s COVID-19 vaccine for emergency use - a critical step the United Nations health agen… ","","1",1,0,-0.2732,0.123,0.216,0.661,0.75,"LOW","NEG",20
"2120","LatestLY","True",2021-01-01," Clears Pfizer-BioNTech Coronavirus Vaccine for Emergency Use ","['WHO', 'PfizerBioNTech', 'PfizerVaccine', 'CovidVaccine']","2",0,1,-0.3182,0.146,0.292,0.562,0.25,"LOW","NEG",20
"2121","United News of India","False",2021-01-01,"WHO issues emergency use validation for Pfizer, BioNTech COVID-19 vaccine ","['PfizerBioNTech']","1",0,0,-0.3818,0,0.224,0.776,0,"LOW","NEG",20
"2122","Opoyi","False",2021-01-01," vaccine is the first to get 'emergency validation'. Read more: ","['PfizerBioNTech', 'WHO']","2",0,0,-0.3818,0,0.224,0.776,0,"LOW","NEG",20
"2123","Nacindex","False",2021-01-01," Domain Is For Sale! ''The World Health Organization WHO listed the Pfizer/BioNTech vac… ","","1",0,0,0,0,0,1,0,"LOW","NEU",20
"2124","Aroguden","False",2021-01-01," The World Health Organization granted emergency validation to the vaccine, paving the way f… ","['UPDATE', 'PfizerBioNTech']","2",0,1,-0.1531,0.12,0.157,0.723,0.25,"LOW","NEG",20
"2125","Amanda Adams MD","False",2021-01-01,"“Vaccines are one of the biggest Public Health victories in human history” Thankful and grateful for… ","","1",0,1,0.7717,0.324,0,0.676,0.25,"LOW","POS",20
"2126","Nick Ogami","False",2021-01-01,"The only symptom I am experiencing right now is complete and utter relief. This year has been rough on everybody bo… ","","1",0,2,0.5256,0.145,0,0.855,0.5,"LOW","POS",20
"2127","нσℓℓүαηη","False",2021-01-01," received my of today I’m and ","['HappyNewYearsEve', 'first', 'dose', 'PfizerBioNTech', 'Covid19vaccine', 'thankful', 'grateful']","3",0,1,0,0,0,1,0.25,"LOW","NEU",20
"2128","Free Malaysia Today","False",2020-12-31,"This opens the way for regulators worldwide to quickly approve its import and distribution. ","['FMTNews', 'WHO', 'Vaccine']","2",0,0,0,0,0,1,0,"LOW","NEU",19
"2129","Monica #WashYourHands","False",2020-12-31,"First dose of vaccine received. There is light at the end of the tunnel ","['PfizerBioNTech', 'CovidVaccine']","2",0,1,0,0,0,1,0.25,"LOW","NEU",19
"2130","UMaravia","False",2020-12-31,"💉✅⛔️To vax or not to vax? ☪️Check out my latest article published by regarding the Pfizer-BioNTech vacc… ","","1",2,7,-0.296,0,0.084,0.916,3.25,"AVG","NEG",19
"2131","Sunil Kumar ♞ ♂︎ 💙 ✊🏿 #BLM","False",2020-12-31,"This is in contrast to what has just said on news at 22:00 tonight about the efficacy of t… ","","1",0,1,0,0,0,1,0.25,"LOW","NEU",19
"2132","NIMI VASHI","False",2021-01-09,"Got my COVID 19 vaccine! Cheers to scientists who faced rejections yet believed in a very novel concept of the mRNA… ","","1",0,3,0.4376,0.221,0.114,0.665,0.75,"LOW","POS",28
"2133","Lis","False",2021-01-09,"Had my second vaccine today thanks to my lovely GP surgery colleagues ✅💉","['PfizerBioNTech']","1",0,1,0.7717,0.309,0,0.691,0.25,"LOW","POS",28
"2134","Sue Reeve ♥️🧡💛💚💙💜🇪🇺🇪🇺🏳️‍🌈🏳️‍🌈","False",2021-01-02," Didn’t realise she’d had dose 1. one? She must have the 2nd dose, and will. A friend of mi… ","['PfizerBioNTech']","1",0,1,0.4939,0.151,0,0.849,0.25,"LOW","POS",21
"2135","Lee Spraggon, PhD 🧬🦠","False",2021-01-02,"Discussions surrounding a change to a single dose versus the scheduled double dose. Main players in the market for… ","","1",1,4,0,0,0,1,1.75,"AVG","NEU",21
"2136","Kent Community Health NHS Foundation Trust","True",2021-01-02,"The is delivered frozen🥶and must be CAREFULLY reconstituted onsite by our pharmacy… ","['PfizerBioNTech', 'COVID', 'vaccine']","2",14,34,0.3034,0.147,0,0.853,19,"HIGH","POS",21
"2137","Stella Maris","False",2021-01-02,"How did our employees feel after the COVID-19 vaccine? ","['LittleVialsofHope', 'HealthcareHeroes', 'PfizerBioNTech']","2",0,1,0,0,0,1,0.25,"LOW","NEU",21
"2138","M🍏tthias","False",2021-01-02,"Thanks to the genius of biontech and the hard work of Pfizer my parents could be vaccinated today. ","['Biontech', 'Pfizer', 'PfizerBioNTech']","2",0,0,0.3612,0.143,0.069,0.788,0,"LOW","POS",21
"2139","Julian Bashforth 🏳️‍🌈","False",2021-01-02," Of course you can. However I don’t agree that there is any evidence base t… ","","1",0,0,0.3612,0.152,0,0.848,0,"LOW","POS",21
"2140","Polly Partlett 🌍","False",2021-01-02,"It makes a mockery of the consent process and GMP, leaves the risk of vaccine resistance, as well as leaving thousa… ","","1",0,2,-0.1027,0.157,0.173,0.669,0.5,"LOW","NEG",21
"2141","Canadian Advocacy Centre 4 Health Safety & Justice","False",2021-01-02,"7- trial participants have died from both &amp; vaccines. No information about th… ","['COVIDVaccine', 'PfizerBioNTech', 'Moderna']","2",0,0,-0.7003,0,0.345,0.655,0,"LOW","NEG",21
"2142","Canadian Advocacy Centre 4 Health Safety & Justice","False",2021-01-02,"5-MHRA guidelines to GP's: 1. Any person with a history of a significant allergic reaction to a vaccine, medicine o… ","","1",0,1,-0.1027,0.082,0.1,0.818,0.25,"LOW","NEG",21
"2143","Canadian Advocacy Centre 4 Health Safety & Justice","False",2021-01-02,"3-2% (5K+) of all those given vaccine in had ""Health Impact Events"" ""unable to perform normal d… ","['PfizerBioNTech', 'US']","2",1,1,0,0,0,1,1,"LOW","NEU",21
"2144","John Fox","False",2021-01-02,"Got a phone call from my Dad’s nursing home earlier today seeking consent for him to receive the Co… ","['PfizerBioNTech']","1",0,25,0.2263,0.095,0,0.905,6.25,"AVG","POS",21
"2145","Rufat Mammadli","False",2021-01-02,"Before “Turks are coming!”, after “Turks invents vaccine!”. Summary. Not a direct translate. By lovely:… ","","1",1,7,0,0,0,1,2.5,"AVG","NEU",21
"2146","MaFer Zavala","False",2021-01-02,"Covid Vaccine Dose 02/01/2021 👩🏻‍⚕️💉🦠. ","['Grateful', 'ScienceFirst', 'PfizerBioNTech', 'CovidVaccine', 'INNSZ']","3",1,42,0,0,0,1,11.25,"HIGH","NEU",21
"2147","Madeleine Storey 💙","False",2021-01-02,"2 days post COVID-19 vaccine dose 1... Pros: Arm not even sore. Managed an upper body work out at the gym. Cons:… ","","1",0,1,0.2755,0.091,0,0.909,0.25,"LOW","POS",21
"2148","#Covid19UK #WearaMask 😷 #KeepSafe 🧬Race = #Human","False",2021-01-02,"It ONLY reach ~95% if BOTH shots done within 3-4 w! AUTO-translated: How 's works What it… ","['PfizerBioNTech', 'vaccine']","2",0,0,0.1007,0.08,0,0.92,0,"LOW","POS",21
"2149","Khalid","False",2021-01-02,"Returning to the COVID Unit at the Hamilton General in the middle of wave 2 but now powered with the… ","","1",3,98,0,0,0,1,26.75,"HIGH","NEU",21
